#TSV
#============Begin of sheet============
@Sheet=History
生态ID	生态说明
1546	在狩猎场中使用双刀成功狩猎一次	71	5795	1			2
1547	在狩猎场中使用太刀成功狩猎一次	71	5796	1			2
1548	在狩猎场中使用狩猎笛成功狩猎一次	71	5797	1			2
1549	在狩猎场中使用铳枪成功狩猎一次	71	5798	1			2
1550	在狩猎场中使用弓成功狩猎一次	71	5799	1			2
1551	在狩猎场中使用斩击斧成功狩猎一次	71	5800	1			2
1552	在狩猎场中成功破坏任意部位1次	71	5801	1			2
1553	在狩猎场中成功破坏任意部位5次	71	5801	5			6
1554	在狩猎场中成功破坏任意部位10次	71	5801	10			8
1555	在狩猎场中成功破坏任意部位15次	71	5801	15			8
1556	在狩猎场中成功破坏任意部位20次	71	5801	20			8
1557	在狩猎场中成功破坏任意部位25次	71	5801	25			8
1558	在狩猎场中成功破坏任意部位30次	71	5801	30			18
1559	在狩猎场中累计讨伐5只指定怪物	71	5806	5			10
1560	在狩猎场中累计讨伐20只指定怪物	71	5806	20			10
1561	在狩猎场中使用大剑成功狩猎一次	72	5808	1			2
1562	在狩猎场中使用大锤成功狩猎一次	72	5809	1			2
1563	在狩猎场中使用长枪成功狩猎一次	72	5810	1			2
1564	在狩猎场中使用片手成功狩猎一次	72	5811	1			2
1565	在狩猎场中使用弩成功狩猎一次	72	5812	1			2
1566	在狩猎场中使用双刀成功狩猎一次	72	5813	1			2
1567	在狩猎场中使用太刀成功狩猎一次	72	5814	1			2
1568	在狩猎场中使用狩猎笛成功狩猎一次	72	5815	1			2
1569	在狩猎场中使用铳枪成功狩猎一次	72	5816	1			2
1570	在狩猎场中使用弓成功狩猎一次	72	5817	1			2
1571	在狩猎场中使用斩击斧成功狩猎一次	72	5818	1			2
1572	在狩猎场中成功破坏任意部位1次	72	5819	1			2
1573	在狩猎场中成功破坏任意部位5次	72	5819	5			6
1574	在狩猎场中成功破坏任意部位10次	72	5819	10			8
1575	在狩猎场中成功破坏任意部位15次	72	5819	15			8
1576	在狩猎场中成功破坏任意部位20次	72	5819	20			8
1577	在狩猎场中成功破坏任意部位25次	72	5819	25			8
1578	在狩猎场中成功破坏任意部位30次	72	5819	30			18
1579	在狩猎场中累计讨伐5只指定怪物	72	5824	5			10
1580	在狩猎场中累计讨伐20只指定怪物	72	5824	20			10
1581	在狩猎场中使用大剑成功狩猎一次	73	5826	1			2
1582	在狩猎场中使用大锤成功狩猎一次	73	5827	1			2
1583	在狩猎场中使用长枪成功狩猎一次	73	5828	1			2
1584	在狩猎场中使用片手成功狩猎一次	73	5829	1			2
1585	在狩猎场中使用弩成功狩猎一次	73	5830	1			2
1586	在狩猎场中使用双刀成功狩猎一次	73	5831	1			2
1587	在狩猎场中使用太刀成功狩猎一次	73	5832	1			2
1588	在狩猎场中使用狩猎笛成功狩猎一次	73	5833	1			2
1589	在狩猎场中使用铳枪成功狩猎一次	73	5834	1			2
1590	在狩猎场中使用弓成功狩猎一次	73	5835	1			2
1591	在狩猎场中使用斩击斧成功狩猎一次	73	5836	1			2
1592	在狩猎场中成功破坏任意部位1次	73	5837	1			2
1593	在狩猎场中成功破坏任意部位5次	73	5837	5			6
1594	在狩猎场中成功破坏任意部位10次	73	5837	10			18
1595	在狩猎场中累计遭遇大金冠1次	73	5838	1			8
1596	在狩猎场中累计遭遇大银冠1次	73	5839	1			8
1597	在狩猎场中累计遭遇小银冠1次	73	5840	1			8
1598	在狩猎场中累计遭遇小金冠1次	73	5841	1			8
1599	在狩猎场中累计讨伐5只指定怪物	73	5842	5			10
1600	在狩猎场中累计捕获5只指定怪物	73	5843	5			10
1601	在狩猎场中使用大剑成功狩猎一次	74	5844	1			2
1602	在狩猎场中使用大锤成功狩猎一次	74	5845	1			2
1603	在狩猎场中使用长枪成功狩猎一次	74	5846	1			2
1604	在狩猎场中使用片手成功狩猎一次	74	5847	1			2
1605	在狩猎场中使用弩成功狩猎一次	74	5848	1			2
1606	在狩猎场中使用双刀成功狩猎一次	74	5849	1			2
1607	在狩猎场中使用太刀成功狩猎一次	74	5850	1			2
1608	在狩猎场中使用狩猎笛成功狩猎一次	74	5851	1			2
1609	在狩猎场中使用铳枪成功狩猎一次	74	5852	1			2
1610	在狩猎场中使用弓成功狩猎一次	74	5853	1			2
1611	在狩猎场中使用斩击斧成功狩猎一次	74	5854	1			2
1612	在狩猎场中成功破坏任意部位1次	74	5855	1			2
1613	在狩猎场中成功破坏任意部位5次	74	5855	5			6
1614	在狩猎场中成功破坏任意部位10次	74	5855	10			8
1615	在狩猎场中成功破坏任意部位15次	74	5855	15			8
1616	在狩猎场中成功破坏任意部位20次	74	5855	20			8
1617	在狩猎场中成功破坏任意部位25次	74	5855	25			8
1618	在狩猎场中成功破坏任意部位30次	74	5855	30			18
1619	在狩猎场中累计讨伐5只指定怪物	74	5860	5			10
1620	在狩猎场中累计讨伐20只指定怪物	74	5860	20			10
1621	在狩猎场中使用大剑成功狩猎一次	75	5862	1			2
1622	在狩猎场中使用大锤成功狩猎一次	75	5863	1			2
1623	在狩猎场中使用长枪成功狩猎一次	75	5864	1			2
1624	在狩猎场中使用片手成功狩猎一次	75	5865	1			2
1625	在狩猎场中使用弩成功狩猎一次	75	5866	1			2
1626	在狩猎场中使用双刀成功狩猎一次	75	5867	1			2
1627	在狩猎场中使用太刀成功狩猎一次	75	5868	1			2
1628	在狩猎场中使用狩猎笛成功狩猎一次	75	5869	1			2
1629	在狩猎场中使用铳枪成功狩猎一次	75	5870	1			2
1630	在狩猎场中使用弓成功狩猎一次	75	5871	1			2
1631	在狩猎场中使用斩击斧成功狩猎一次	75	5872	1			2
1632	在狩猎场中成功破坏任意部位1次	75	5873	1			2
1633	在狩猎场中成功破坏任意部位5次	75	5873	5			6
1634	在狩猎场中成功破坏任意部位10次	75	5873	10			18
1635	在狩猎场中累计遭遇大金冠1次	75	5874	1			8
1636	在狩猎场中累计遭遇大银冠1次	75	5875	1			8
1637	在狩猎场中累计遭遇小银冠1次	75	5876	1			8
1638	在狩猎场中累计遭遇小金冠1次	75	5877	1			8
1639	在狩猎场中累计讨伐5只指定怪物	75	5878	5			10
1640	在狩猎场中累计捕获5只指定怪物	75	5879	5			10
1641	在狩猎场中使用大剑成功狩猎一次	76	5880	1			2
1642	在狩猎场中使用大锤成功狩猎一次	76	5881	1			2
1643	在狩猎场中使用长枪成功狩猎一次	76	5882	1			2
1644	在狩猎场中使用片手成功狩猎一次	76	5883	1			2
1645	在狩猎场中使用弩成功狩猎一次	76	5884	1			2
1646	在狩猎场中使用双刀成功狩猎一次	76	5885	1			2
1647	在狩猎场中使用太刀成功狩猎一次	76	5886	1			2
1648	在狩猎场中使用狩猎笛成功狩猎一次	76	5887	1			2
1649	在狩猎场中使用铳枪成功狩猎一次	76	5888	1			2
1650	在狩猎场中使用弓成功狩猎一次	76	5889	1			2
1651	在狩猎场中使用斩击斧成功狩猎一次	76	5890	1			2
1652	在狩猎场中成功破坏任意部位1次	76	5891	1			2
1653	在狩猎场中成功破坏任意部位5次	76	5891	5			6
1654	在狩猎场中成功破坏任意部位10次	76	5891	10			18
1655	在狩猎场中累计遭遇大金冠1次	76	5892	1			8
1656	在狩猎场中累计遭遇大银冠1次	76	5893	1			8
1657	在狩猎场中累计遭遇小银冠1次	76	5894	1			8
1658	在狩猎场中累计遭遇小金冠1次	76	5895	1			8
1659	在狩猎场中累计讨伐5只指定怪物	76	5896	5			10
1660	在狩猎场中累计捕获5只指定怪物	76	5897	5			10
1661	在狩猎场中使用大剑成功狩猎一次	84	6390	1			2
1662	在狩猎场中使用大锤成功狩猎一次	84	6391	1			2
1663	在狩猎场中使用长枪成功狩猎一次	84	6392	1			2
1664	在狩猎场中使用片手成功狩猎一次	84	6393	1			2
1665	在狩猎场中使用弩成功狩猎一次	84	6394	1			2
1666	在狩猎场中使用双刀成功狩猎一次	84	6395	1			2
1667	在狩猎场中使用太刀成功狩猎一次	84	6396	1			2
1668	在狩猎场中使用狩猎笛成功狩猎一次	84	6397	1			2
1669	在狩猎场中使用铳枪成功狩猎一次	84	6398	1			2
1670	在狩猎场中使用弓成功狩猎一次	84	6399	1			2
1671	在狩猎场中使用斩击斧成功狩猎一次	84	6400	1			2
1672	在狩猎场中成功破坏任意部位1次	84	6401	1			2
1673	在狩猎场中成功破坏任意部位5次	84	6401	5			6
1674	在狩猎场中成功破坏任意部位10次	84	6401	10			18
1675	在狩猎场中累计遭遇大金冠1次	84	6402	1			8
1676	在狩猎场中累计遭遇大银冠1次	84	6403	1			8
1677	在狩猎场中累计遭遇小银冠1次	84	6404	1			8
1678	在狩猎场中累计遭遇小金冠1次	84	6405	1			8
1679	在狩猎场中累计讨伐5只指定怪物	84	6406	5			10
1680	在狩猎场中累计捕获5只指定怪物	84	6407	5			10
1681	在狩猎场中使用大剑成功狩猎一次	85	6432	1			2
1682	在狩猎场中使用大锤成功狩猎一次	85	6433	1			2
1683	在狩猎场中使用长枪成功狩猎一次	85	6434	1			2
1684	在狩猎场中使用片手成功狩猎一次	85	6435	1			2
1685	在狩猎场中使用弩成功狩猎一次	85	6436	1			2
1686	在狩猎场中使用双刀成功狩猎一次	85	6437	1			2
1687	在狩猎场中使用太刀成功狩猎一次	85	6438	1			2
1688	在狩猎场中使用狩猎笛成功狩猎一次	85	6439	1			2
1689	在狩猎场中使用铳枪成功狩猎一次	85	6440	1			2
1690	在狩猎场中使用弓成功狩猎一次	85	6441	1			2
1691	在狩猎场中使用斩击斧成功狩猎一次	85	6442	1			2
1692	在狩猎场中成功破坏任意部位1次	85	6443	1			2
1693	在狩猎场中成功破坏任意部位5次	85	6443	5			6
1694	在狩猎场中成功破坏任意部位10次	85	6443	10			18
1695	在狩猎场中累计遭遇大金冠1次	85	6444	1			8
1696	在狩猎场中累计遭遇大银冠1次	85	6445	1			8
1697	在狩猎场中累计遭遇小银冠1次	85	6446	1			8
1698	在狩猎场中累计遭遇小金冠1次	85	6447	1			8
1699	在狩猎场中累计讨伐5只指定怪物	85	6448	5			10
1700	在狩猎场中累计捕获5只指定怪物	85	6449	5			10
1701	在狩猎场中使用大剑成功狩猎一次	86	6478	1			2
1702	在狩猎场中使用大锤成功狩猎一次	86	6479	1			2
1703	在狩猎场中使用长枪成功狩猎一次	86	6480	1			2
1704	在狩猎场中使用片手成功狩猎一次	86	6481	1			2
1705	在狩猎场中使用弩成功狩猎一次	86	6482	1			2
1706	在狩猎场中使用双刀成功狩猎一次	86	6483	1			2
1707	在狩猎场中使用太刀成功狩猎一次	86	6484	1			2
1708	在狩猎场中使用狩猎笛成功狩猎一次	86	6485	1			2
1709	在狩猎场中使用铳枪成功狩猎一次	86	6486	1			2
1710	在狩猎场中使用弓成功狩猎一次	86	6487	1			2
1711	在狩猎场中使用斩击斧成功狩猎一次	86	6488	1			2
1712	在狩猎场中成功破坏任意部位1次	86	6489	1			2
1713	在狩猎场中成功破坏任意部位5次	86	6489	5			6
1714	在狩猎场中成功破坏任意部位10次	86	6489	10			8
1715	在狩猎场中成功破坏任意部位15次	86	6489	15			8
1716	在狩猎场中成功破坏任意部位20次	86	6489	20			8
1717	在狩猎场中成功破坏任意部位25次	86	6489	25			8
1718	在狩猎场中成功破坏任意部位30次	86	6489	30			18
1719	在狩猎场中累计讨伐5只指定怪物	86	6490	5			10
1720	在狩猎场中累计讨伐20只指定怪物	86	6490	20			10
1721	在狩猎场中使用大剑成功狩猎一次	87	6631	1			2
1722	在狩猎场中使用大锤成功狩猎一次	87	6632	1			2
1723	在狩猎场中使用长枪成功狩猎一次	87	6633	1			2
1724	在狩猎场中使用片手成功狩猎一次	87	6634	1			2
1725	在狩猎场中使用弩成功狩猎一次	87	6635	1			2
1726	在狩猎场中使用双刀成功狩猎一次	87	6636	1			2
1727	在狩猎场中使用太刀成功狩猎一次	87	6637	1			2
1728	在狩猎场中使用狩猎笛成功狩猎一次	87	6638	1			2
1729	在狩猎场中使用铳枪成功狩猎一次	87	6639	1			2
1730	在狩猎场中使用弓成功狩猎一次	87	6640	1			2
1731	在狩猎场中使用斩击斧成功狩猎一次	87	6641	1			2
1732	在狩猎场中成功破坏任意部位1次	87	6642	1			2
1733	在狩猎场中成功破坏任意部位5次	87	6642	5			6
1734	在狩猎场中成功破坏任意部位10次	87	6642	10			18
1735	在狩猎场中累计遭遇大金冠1次	87	6643	1			8
1736	在狩猎场中累计遭遇大银冠1次	87	6644	1			8
1737	在狩猎场中累计遭遇小银冠1次	87	6645	1			8
1738	在狩猎场中累计遭遇小金冠1次	87	6646	1			8
1739	在狩猎场中累计讨伐5只指定怪物	87	6647	5			10
1740	在狩猎场中累计捕获5只指定怪物	87	6648	5			10
1741	在狩猎场中使用大剑成功狩猎一次	89	6674	1			2
1742	在狩猎场中使用大锤成功狩猎一次	89	6675	1			2
1743	在狩猎场中使用长枪成功狩猎一次	89	6676	1			2
1744	在狩猎场中使用片手成功狩猎一次	89	6677	1			2
1745	在狩猎场中使用弩成功狩猎一次	89	6678	1			2
1746	在狩猎场中使用双刀成功狩猎一次	89	6679	1			2
1747	在狩猎场中使用太刀成功狩猎一次	89	6680	1			2
1748	在狩猎场中使用狩猎笛成功狩猎一次	89	6681	1			2
1749	在狩猎场中使用铳枪成功狩猎一次	89	6682	1			2
1750	在狩猎场中使用弓成功狩猎一次	89	6683	1			2
1751	在狩猎场中使用斩击斧成功狩猎一次	89	6684	1			2
1752	在狩猎场中成功破坏任意部位1次	89	6685	1			2
1753	在狩猎场中成功破坏任意部位5次	89	6685	5			6
1754	在狩猎场中成功破坏任意部位10次	89	6685	10			18
1755	在狩猎场中累计遭遇大金冠1次	89	6686	1			8
1756	在狩猎场中累计遭遇大银冠1次	89	6687	1			8
1757	在狩猎场中累计遭遇小银冠1次	89	6688	1			8
1758	在狩猎场中累计遭遇小金冠1次	89	6689	1			8
1759	在狩猎场中累计讨伐5只指定怪物	89	6690	5			10
1760	在狩猎场中累计捕获5只指定怪物	89	6691	5			10
1761	在狩猎场中使用大剑成功狩猎一次	88	6758	1			2
1762	在狩猎场中使用大锤成功狩猎一次	88	6759	1			2
1763	在狩猎场中使用长枪成功狩猎一次	88	6760	1			2
1764	在狩猎场中使用片手成功狩猎一次	88	6761	1			2
1765	在狩猎场中使用弩成功狩猎一次	88	6762	1			2
1766	在狩猎场中使用双刀成功狩猎一次	88	6763	1			2
1767	在狩猎场中使用太刀成功狩猎一次	88	6764	1			2
1768	在狩猎场中使用狩猎笛成功狩猎一次	88	6765	1			2
1769	在狩猎场中使用铳枪成功狩猎一次	88	6766	1			2
1770	在狩猎场中使用弓成功狩猎一次	88	6767	1			2
1771	在狩猎场中使用斩击斧成功狩猎一次	88	6768	1			2
1772	在狩猎场中成功破坏任意部位1次	88	6769	1			2
1773	在狩猎场中成功破坏任意部位5次	88	6769	5			6
1774	在狩猎场中成功破坏任意部位10次	88	6769	10			18
1775	在狩猎场中累计遭遇大金冠1次	88	6770	1			8
1776	在狩猎场中累计遭遇大银冠1次	88	6771	1			8
1777	在狩猎场中累计遭遇小银冠1次	88	6772	1			8
1778	在狩猎场中累计遭遇小金冠1次	88	6773	1			8
1779	在狩猎场中累计讨伐5只指定怪物	88	6774	5			10
1780	在狩猎场中累计捕获5只指定怪物	88	6775	5			10
1781	在狩猎场中使用大剑成功狩猎一次	90	6800	1			2
1782	在狩猎场中使用大锤成功狩猎一次	90	6801	1			2
1783	在狩猎场中使用长枪成功狩猎一次	90	6802	1			2
1784	在狩猎场中使用片手成功狩猎一次	90	6803	1			2
1785	在狩猎场中使用弩成功狩猎一次	90	6804	1			2
1786	在狩猎场中使用双刀成功狩猎一次	90	6805	1			2
1787	在狩猎场中使用太刀成功狩猎一次	90	6806	1			2
1788	在狩猎场中使用狩猎笛成功狩猎一次	90	6807	1			2
1789	在狩猎场中使用铳枪成功狩猎一次	90	6808	1			2
1790	在狩猎场中使用弓成功狩猎一次	90	6809	1			2
1791	在狩猎场中使用斩击斧成功狩猎一次	90	6810	1			2
1792	在狩猎场中成功破坏任意部位1次	90	6811	1			2
1793	在狩猎场中成功破坏任意部位5次	90	6811	5			6
1794	在狩猎场中成功破坏任意部位10次	90	6811	10			8
1795	在狩猎场中成功破坏任意部位15次	90	6811	15			8
1796	在狩猎场中成功破坏任意部位20次	90	6811	20			8
1797	在狩猎场中成功破坏任意部位25次	90	6811	25			8
1798	在狩猎场中成功破坏任意部位30次	90	6811	30			18
1799	在狩猎场中累计讨伐5只指定怪物	90	6816	5			10
1800	在狩猎场中累计讨伐20只指定怪物	90	6816	20			10
1801	在狩猎场中使用大剑成功狩猎一次	91	6842	1			2
1802	在狩猎场中使用大锤成功狩猎一次	91	6843	1			2
1803	在狩猎场中使用长枪成功狩猎一次	91	6844	1			2
1804	在狩猎场中使用片手成功狩猎一次	91	6845	1			2
1805	在狩猎场中使用弩成功狩猎一次	91	6846	1			2
1806	在狩猎场中使用双刀成功狩猎一次	91	6847	1			2
1807	在狩猎场中使用太刀成功狩猎一次	91	6848	1			2
1808	在狩猎场中使用狩猎笛成功狩猎一次	91	6849	1			2
1809	在狩猎场中使用铳枪成功狩猎一次	91	6850	1			2
1810	在狩猎场中使用弓成功狩猎一次	91	6851	1			2
1811	在狩猎场中使用斩击斧成功狩猎一次	91	6852	1			2
1812	在狩猎场中成功破坏任意部位1次	91	6853	1			2
1813	在狩猎场中成功破坏任意部位5次	91	6853	5			6
1814	在狩猎场中成功破坏任意部位10次	91	6853	10			18
1815	在狩猎场中累计遭遇大金冠1次	91	6854	1			8
1816	在狩猎场中累计遭遇大银冠1次	91	6855	1			8
1817	在狩猎场中累计遭遇小银冠1次	91	6856	1			8
